曲名,センター,テーマ,紹介文,YouTube
この空がトリガー,佐々木舞香,叶わなかった恋,"13thシングル　　切ない気持ちになるけど、とてもきらきらとした曲
",https://youtu.be/20QJax8CwQo?si=vLzkMIW0DAyHTwfu
ズルいよズルいね,齊藤なぎさ,叶わなかった恋,6thシングル　　セリフの部分が印象的な曲,https://youtu.be/J5eTB_0SEeg?si=95Sv6QGxG6CniBy-
あの子コンプレックス,佐々木舞香,叶わない恋,11thシングル　　片想いをしている人に刺さる曲,https://youtu.be/ShbfYtAPXuI?si=O5D-YGcw8mRqzRWw
ラストノートしか知らない,齋藤樹愛羅,叶わない恋,15thシングル　　いつか報われてほしいと願ってしまう曲,https://youtu.be/C8WMX7dEH7Y?si=XI01OBhG78uaY5Zi
恋人以上、好き未満,佐々木舞香,恋,18thシングル　　恋をしたかわいい女の子の曲,https://youtu.be/p-jc9qMpBb4?si=itHApEbdI5_n8t_K
桜の咲く音がした,髙松瞳,恋,1stアルバム　　リアルな歌詞に恋をしているときの気持ちを思い出させてくれる曲,https://youtu.be/0ImFNEs7P_Q?si=Is_ZDajAhDcsRMlr
"青春""サブリミナル""",髙松瞳,青春,8thシングル　　きらきら王道アイドルソング,https://youtu.be/8id6i_QeNJM?si=SGoDpePPYX8m4zuq
夏祭り恋慕う,佐々木舞香,青春,9thシングル　　男の子目線の恋の歌,https://youtu.be/8VBDO8ZQyDo?si=t5bHfeQH024UYuh1
君と私の歌,野口衣織,推しに向けて,7thシングル　　歌詞が推しに当てはまるから共感できる曲　,https://youtu.be/juImxVpogRY?si=nAHt0YyVDJB_iD1d
絶対アイドル辞めないで,佐々木舞香,推しに向けて,17thシングル　　王道アイドルソングなのにアイドルの卒業を歌っている曲,https://youtu.be/17NBPoc78oM?si=1rZyYjXlrorYPIR1
探せダイヤモンドリリー,髙松瞳,卒業,5thシングル　　卒業前のあの気持ちが頭に浮かぶ曲,https://youtu.be/t5r0rNwjXQU?si=Hchg23O9uT2jseIH
君の第3ボタン,齋藤樹愛羅,卒業,16thシングル　　気持ちを伝えなかった女の子の歌,https://youtu.be/xmo-UbsUZE4?si=Fokeesb0cDe-K_SR
狂想カタストロフィ,野口衣織,黒,15thシングル　　好きな気持ちが大きすぎる曲,https://youtu.be/RG_B3gfOzLo?si=EZTAqGLStRFa6MLx
手遅れcaution,髙松瞳,黒,3rdシングル　　どうしようもない所まできちゃった禁断の恋の歌,https://youtu.be/w0N0TiOlAY0?si=h9k_Pymk9EpBTyxN
僕らの制服クリスマス,髙松瞳,クリスマス,2ndシングル　　高校生が恋人と過ごす初めてのクリスマス,https://youtu.be/YIjPbF-dKQA?si=oOrOJVjswSAC5LIA
The 5th,髙松瞳,クリスマス,10thシングル　　少し大人になった2人のクリスマス,https://youtu.be/Q1-yYjZqk7o?si=KCbN86TGmTIDUQGH
しゅきぴ,佐々木舞香,甘々,8thシングル　　愛重めのかわいい女の子の曲,https://youtu.be/hTu7a1kRXYQ?si=y16wS9O3R1zYA8vE
とくべチュ、して,佐々木舞香,甘々,18thシングル　　とにかくかわいい曲,https://youtu.be/F3P8vcZkIh4?si=XJxmk82CUwkN1HtB
誰にもバレずに,佐々木舞香,その他,16thシングル　　聞いていて少し苦しくなるような曲,https://youtu.be/E4PVynHrfp8?si=fwjZOOhpU7Z-4Nky
笑顔のレシピ,山本杏奈,その他,11thシングル　　泣いてしまいそうなくらい素敵な曲,https://youtu.be/LKwERkGBiog?si=sfFdHPrEk-f4r_rs
